,"Analysis showing the count, employment and turnover (£'000s) of VAT and/or PAYE based enterprises exhibiting high growth in employment, turnover and both employment and turnover for Countries, Regions unitary and local authority districts of the United Kingdom ",,,,,,,,,,,,,,,,,,,,,,,,,
E11000007 : Tyne and Wear (Met County),200,"27,563","2,264,788",345,"25,527","2,849,943",105,"9,382","1,218,730",,,,,,,,,,,,,,,,,
E08000037 :    Gateshead,40,"4,754","350,051",75,"6,681","584,816",20,"2,489","212,108",,,,,,,,,,,,,,,,,
E08000021 :    Newcastle upon Tyne,75,"7,789","869,191",125,"7,836","1,358,485",40,"3,522","733,847",,,,,,,,,,,,,,,,,
E08000022 :    North Tyneside,35,"10,557","660,065",45,"3,380","390,250",20,"1,559","174,627",,,,,,,,,,,,,,,,,
E08000023 :    South Tyneside,15,"2,712","239,682",25,"1,343","59,841",5,..C,"23,737",,,,,,,,,,,,,,,,,
E08000024 :    Sunderland,35,"1,751","145,799",75,"6,287","456,551",20,..C,"74,411",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000002 : North West,"1,445","202,418","23,135,144","2,765","247,291","42,170,035",785,"111,792","13,292,016",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000008 : Blackburn with Darwen,30,"9,606","2,197,311",50,"9,551","2,095,565",15,..C,..C,,,,,,,,,,,,,,,,,
E06000009 : Blackpool,20,898,"49,990",40,"2,233","201,613",10,704,"46,030",,,,,,,,,,,,,,,,,
E06000049 : Cheshire East,115,"15,102","1,382,317",230,"19,778","3,417,241",75,"11,467","1,138,887",,,,,,,,,,,,,,,,,
E06000050 : Cheshire West and Chester,75,"15,405","1,738,960",150,"14,434","3,196,196",35,"9,373","1,306,013",,,,,,,,,,,,,,,,,
E06000006 : Halton,25,"12,238","504,658",50,"11,069","717,940",15,..C,"357,028",,,,,,,,,,,,,,,,,
E06000007 : Warrington,50,"11,142","675,985",80,"5,542","2,883,402",20,"1,385",..C,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000006 : Cumbria,80,"5,733","635,151",175,"8,781","1,117,189",35,"2,725","409,496",,,,,,,,,,,,,,,,,
E07000026 : Allerdale,20,928,"83,718",25,"1,127","82,728",10,449,"29,341",,,,,,,,,,,,,,,,,
E07000027 : Barrow-in-Furness,5,..C,..C,15,457,"81,471",0,..C,..C,,,,,,,,,,,,,,,,,
E07000028 : Carlisle,20,"2,710","409,073",45,"3,726","538,799",10,"1,341","312,156",,,,,,,,,,,,,,,,,
E07000029 : Copeland,5,..C,..C,10,371,"25,361",0,..C,..C,,,,,,,,,,,,,,,,,
E07000030 : Eden,10,391,"36,997",20,901,"141,034",5,..C,..C,,,,,,,,,,,,,,,,,
E07000031 : South Lakeland,20,"1,323","72,437",60,"2,199","247,796",10,636,"40,126",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E11000001 : Greater Manchester (Met County),600,"81,817","11,061,029","1,105","101,250","19,158,585",330,"39,444","5,279,302",,,,,,,,,,,,,,,,,
E08000001 : Bolton,60,"8,197","1,159,670",105,"17,691","2,299,128",35,"5,726","1,037,613",,,,,,,,,,,,,,,,,
E08000002 : Bury,30,"2,536","277,301",65,"2,963","838,398",20,"1,688","245,557",,,,,,,,,,,,,,,,,
E08000003 : Manchester,170,"22,584","3,817,934",300,"28,156","5,846,891",95,"10,620","2,006,929",,,,,,,,,,,,,,,,,
E08000004 : Oldham,30,"2,651","249,970",70,"3,030","501,129",15,659,"70,164",,,,,,,,,,,,,,,,,
E08000005 : Rochdale,30,"5,041","591,857",65,"4,973","720,866",15,"2,946","296,047",,,,,,,,,,,,,,,,,
E08000006 : Salford,65,"7,728","595,624",130,"8,772","1,254,897",45,"5,070","336,948",,,,,,,,,,,,,,,,,
E08000007 : Stockport,60,"5,713","598,222",115,"13,912","4,275,974",30,"3,707","368,486",,,,,,,,,,,,,,,,,
E08000008 : Tameside,35,"2,228","176,521",45,"1,638","224,560",15,657,"46,264",,,,,,,,,,,,,,,,,
E08000009 : Trafford,70,"17,854","2,962,788",120,"12,112","2,290,055",35,"5,564","623,431",,,,,,,,,,,,,,,,,
E08000010 : Wigan,50,"7,285","631,142",90,"8,003","906,687",25,"2,807","247,863",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000017 : Lancashire,250,"23,463","2,406,366",470,"38,728","5,733,726",130,"15,343","1,483,792",,,,,,,,,,,,,,,,,
E07000117 : Burnley,20,"1,312","64,604",35,"3,163","256,071",10,904,"51,788",,,,,,,,,,,,,,,,,
E07000118 : Chorley,25,"1,711","212,804",55,"5,364","1,534,526",10,944,"76,102",,,,,,,,,,,,,,,,,
E07000119 : Fylde,15,642,"83,061",40,"1,625","309,797",10,411,"57,812",,,,,,,,,,,,,,,,,
E07000120 : Hyndburn,20,"1,188","159,917",30,"1,277","205,995",10,617,"112,786",,,,,,,,,,,,,,,,,
E07000121 : Lancaster,25,"3,214","166,154",40,"4,225","251,912",15,"2,540","118,611",,,,,,,,,,,,,,,,,
E07000122 : Pendle,20,"5,927",..C,30,"6,172","820,426",10,..C,..C,,,,,,,,,,,,,,,,,
E07000123 : Preston,30,"2,218","275,308",70,"7,585","1,156,464",15,877,"50,219",,,,,,,,,,,,,,,,,
E07000124 : Ribble Valley,15,946,"62,662",25,"1,075","67,542",5,486,..C,,,,,,,,,,,,,,,,,
E07000125 : Rossendale,10,680,..C,25,"1,038","154,440",5,..C,..C,,,,,,,,,,,,,,,,,
E07000126 : South Ribble,30,"3,211","290,423",45,"3,993","553,977",15,"1,731","123,607",,,,,,,,,,,,,,,,,
E07000127 : West Lancashire,25,"1,759","201,127",50,"2,464","339,520",15,772,"76,146",,,,,,,,,,,,,,,,,
E07000128 : Wyre,15,655,"86,303",25,747,"83,056",10,285,"40,422",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E11000002 : Merseyside (Met County),200,"27,014","2,483,377",415,"35,925","3,648,578",120,"13,893","1,234,528",,,,,,,,,,,,,,,,,
E08000011 : Knowsley,20,"3,053","425,444",40,"3,352","344,054",15,"2,639","189,660",,,,,,,,,,,,,,,,,
E08000012 : Liverpool,85,"16,528","1,309,566",175,"19,427","1,826,675",50,"6,870","512,137",,,,,,,,,,,,,,,,,
E08000014 : Sefton,30,"3,103","274,222",70,"5,738","493,006",20,"1,603","231,990",,,,,,,,,,,,,,,,,
E08000013 : St. Helens,25,"1,820","256,096",60,"2,469","371,536",15,"1,011","121,077",,,,,,,,,,,,,,,,,
E08000015 : Wirral,40,"2,510","218,049",70,"4,939","613,307",20,"1,770","179,664",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000003 : Yorkshire and The Humber,"1,025","132,175","15,107,714","2,040","154,890","27,436,252",545,"75,807","7,998,820",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000011 : East Riding of Yorkshire,55,"4,659","509,472",120,"6,583","1,263,556",30,"3,086","370,997",,,,,,,,,,,,,,,,,
E06000010 : Kingston upon Hull City of,35,"2,731","233,371",100,"10,192","1,482,246",15,994,"132,214",,,,,,,,,,,,,,,,,
E06000012 : North East Lincolnshire,30,"2,341","139,379",50,"2,087","441,240",20,"1,033","59,236",,,,,,,,,,,,,,,,,
E06000013 : North Lincolnshire,25,"6,800","630,060",50,"6,625","758,733",10,"4,687","519,255",,,,,,,,,,,,,,,,,
E06000014 : York,40,"3,885","278,324",75,"4,163","344,973",20,"1,983","177,809",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000023 : North Yorkshire,150,"12,543","1,794,183",275,"15,640","2,661,114",80,"7,895","1,335,377",,,,,,,,,,,,,,,,,
E07000163 : Craven,20,"3,422","449,721",30,"2,845","421,842",15,"2,375","391,674",,,,,,,,,,,,,,,,,
E07000164 : Hambleton,20,"1,252","224,825",35,"1,969","406,378",10,650,"120,678",,,,,,,,,,,,,,,,,
E07000165 : Harrogate,50,"3,756","855,331",90,"5,463","1,296,213",30,"2,493","656,211",,,,,,,,,,,,,,,,,
E07000166 : Richmondshire,15,695,"61,693",25,904,"147,382",5,433,"31,508",,,,,,,,,,,,,,,,,
E07000167 : Ryedale,15,840,"54,746",25,"1,760","106,192",5,564,..C,,,,,,,,,,,,,,,,,
E07000168 : Scarborough,20,"1,500","81,958",35,"1,670","111,917",10,"1,162","72,668",,,,,,,,,,,,,,,,,
E07000169 : Selby,10,"1,078","65,909",35,"1,029","171,190",5,218,..C,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E11000003 : South Yorkshire (Met County),215,"39,048","4,274,636",475,"42,315","10,288,746",120,"25,697","3,026,426",,,,,,,,,,,,,,,,,
E08000016 : Barnsley,30,"4,515","343,496",80,"5,858","4,180,738",15,"2,891",..C,,,,,,,,,,,,,,,,,
E08000017 : Doncaster,40,"4,176","354,895",95,"9,135","2,215,058",20,"3,076","218,245",,,,,,,,,,,,,,,,,
E08000018 : Rotherham,45,"16,983","1,937,635",90,"17,097","2,056,095",25,"15,016",..C,,,,,,,,,,,,,,,,,
E08000019 : Sheffield,100,"13,374","1,638,610",210,"10,225","1,836,855",60,"4,714","949,614",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E11000006 : West Yorkshire (Met County),475,"60,168","7,248,289",895,"67,285","10,195,644",250,"30,432","2,377,506",,,,,,,,,,,,,,,,,
E08000032 : Bradford,80,"11,478","2,174,872",175,"9,661","1,591,243",45,"4,256","337,157",,,,,,,,,,,,,,,,,
E08000033 : Calderdale,25,"2,891","262,841",65,"2,911","552,935",10,439,"59,130",,,,,,,,,,,,,,,,,
E08000034 : Kirklees,85,"7,797","1,110,684",160,"9,288","1,660,904",50,"3,866","451,248",,,,,,,,,,,,,,,,,
E08000035 : Leeds,225,"32,737","3,114,180",375,"37,421","5,002,042",115,"18,576","1,160,717",,,,,,,,,,,,,,,,,
E08000036 : Wakefield,60,"5,265","585,712",120,"8,004","1,388,520",30,"3,295","369,254",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000004 : East Midlands,915,"147,952","10,933,858","1,755","172,224","18,980,213",475,"51,975","6,294,210",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000015 : Derby,45,"7,419","759,846",95,"12,179","1,807,189",25,"5,888","628,143",,,,,,,,,,,,,,,,,
E06000016 : Leicester,70,"9,018",..C,150,"8,587","1,204,431",40,..C,..C,,,,,,,,,,,,,,,,,
E06000018 : Nottingham,65,..C,"497,977",140,"59,833","1,685,788",35,"3,050","348,378",,,,,,,,,,,,,,,,,
E06000017 : Rutland,5,..C,..C,20,944,"124,421",0,..C,..C,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000007 : Derbyshire,130,"10,562","1,287,906",265,"13,247","2,145,972",55,"3,638","411,639",,,,,,,,,,,,,,,,,
E07000032 : Amber Valley,20,"1,214","122,411",50,"2,929","515,005",10,790,"30,177",,,,,,,,,,,,,,,,,
E07000033 : Bolsover,10,"1,057","186,632",30,"1,308","154,702",5,471,"54,606",,,,,,,,,,,,,,,,,
E07000034 : Chesterfield,15,"2,010","168,188",35,"2,858","366,907",5,592,"106,043",,,,,,,,,,,,,,,,,
E07000035 : Derbyshire Dales,20,785,"49,402",30,806,"141,243",5,258,"25,794",,,,,,,,,,,,,,,,,
E07000036 : Erewash,15,948,"191,608",45,"2,237","399,948",10,408,"37,380",,,,,,,,,,,,,,,,,
E07000037 : High Peak,15,"1,202","183,261",20,789,"84,114",5,262,"21,145",,,,,,,,,,,,,,,,,
E07000038 : North East Derbyshire,20,"1,131","110,574",30,"1,450","253,563",5,350,"53,822",,,,,,,,,,,,,,,,,
E07000039 : South Derbyshire,15,"2,215","275,830",25,870,"230,490",10,507,"82,672",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000018 : Leicestershire,150,"30,503","2,317,680",280,"14,790","3,980,654",80,"6,666","1,765,871",,,,,,,,,,,,,,,,,
E07000129 : Blaby,20,"1,318","150,533",45,"2,518","893,178",15,594,"133,423",,,,,,,,,,,,,,,,,
E07000130 : Charnwood,35,"2,331","263,198",65,"2,719","508,511",20,"1,222","134,719",,,,,,,,,,,,,,,,,
E07000131 : Harborough,30,"1,891","257,940",45,"2,150","477,510",15,"1,256","198,681",,,,,,,,,,,,,,,,,
E07000132 : Hinckley and Bosworth,20,..C,"206,247",35,"1,547","333,715",10,550,..C,,,,,,,,,,,,,,,,,
E07000133 : Melton,10,..C,"103,835",20,548,"57,072",0,..C,..C,,,,,,,,,,,,,,,,,
E07000134 : North West Leicestershire,30,"3,614","1,317,799",55,"4,878","1,636,814",20,"2,904","1,147,897",,,,,,,,,,,,,,,,,
E07000135 : Oadby and Wigston,5,199,"18,128",15,430,"73,854",0,..C,..C,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000019 : Lincolnshire,115,"9,256","924,771",245,"13,698","1,723,697",55,"5,531","650,763",,,,,,,,,,,,,,,,,
E07000136 : Boston,10,"1,701","79,694",25,"2,607","140,048",10,"1,473","54,470",,,,,,,,,,,,,,,,,
E07000137 : East Lindsey,20,"1,438","95,176",40,"1,439","211,628",5,698,"40,483",,,,,,,,,,,,,,,,,
E07000138 : Lincoln,15,"1,299","105,141",35,"1,911","191,586",5,360,"76,567",,,,,,,,,,,,,,,,,
E07000139 : North Kesteven,20,"1,234","200,490",40,"1,781","261,900",15,"1,004","155,784",,,,,,,,,,,,,,,,,
E07000140 : South Holland,10,"1,526","248,918",30,"2,414","436,861",5,"1,079","229,124",,,,,,,,,,,,,,,,,
E07000141 : South Kesteven,25,"1,113","113,111",50,"2,310","330,341",10,542,"58,272",,,,,,,,,,,,,,,,,
E07000142 : West Lindsey,15,945,"82,241",25,"1,236","151,333",5,375,"36,063",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000021 : Northamptonshire,180,"53,847","2,622,176",320,"34,367","3,884,085",105,"19,010","1,576,599",,,,,,,,,,,,,,,,,
E07000150 : Corby,25,"1,981","112,734",45,"2,882","371,852",20,"1,672","88,835",,,,,,,,,,,,,,,,,
E07000151 : Daventry,25,"1,465","205,739",35,..C,"310,996",15,..C,"136,286",,,,,,,,,,,,,,,,,
E07000152 : East Northamptonshire,10,..C,"338,905",25,..C,"350,522",5,..C,..C,,,,,,,,,,,,,,,,,
E07000153 : Kettering,15,..C,"292,385",35,"1,840","204,294",5,198,..C,,,,,,,,,,,,,,,,,
E07000154 : Northampton,60,"34,539","1,385,208",95,"12,137","1,801,588",35,"4,026","848,306",,,,,,,,,,,,,,,,,
E07000155 : South Northamptonshire,30,"2,354","166,353",50,"3,614","623,095",15,"1,049","78,779",,,,,,,,,,,,,,,,,
E07000156 : Wellingborough,15,"1,844","120,852",35,"2,100","221,738",10,"1,272","93,562",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000024 : Nottinghamshire,155,"20,439","2,015,746",240,"14,579","2,423,976",80,"5,082","592,590",,,,,,,,,,,,,,,,,
E07000170 : Ashfield,25,"2,447","362,743",25,"2,130","336,226",15,"1,089","177,393",,,,,,,,,,,,,,,,,
E07000171 : Bassetlaw,25,"8,793","1,013,631",40,"1,470","198,832",10,881,"111,984",,,,,,,,,,,,,,,,,
E07000172 : Broxtowe,20,"1,622","157,885",35,"2,425","404,768",10,560,"38,435",,,,,,,,,,,,,,,,,
E07000173 : Gedling,15,879,"43,683",25,"1,070","142,749",10,516,"26,392",,,,,,,,,,,,,,,,,
E07000174 : Mansfield,15,"1,250","70,052",25,"1,981","150,160",5,569,"34,850",,,,,,,,,,,,,,,,,
E07000175 : Newark and Sherwood,25,"1,178","162,029",50,"3,494","377,560",15,812,"108,679",,,,,,,,,,,,,,,,,
E07000176 : Rushcliffe,30,"4,270","205,723",40,"2,009","813,681",15,655,"94,857",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000005 : West Midlands,"1,045","193,462","15,383,400","2,060","202,359","33,095,522",530,"97,192","8,854,705",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000019 : Herefordshire County of,40,"1,785","156,790",85,"3,919","689,050",20,891,"76,498",,,,,,,,,,,,,,,,,
E06000051 : Shropshire,65,"4,499","497,997",130,"7,507","1,611,199",30,"2,115","318,328",,,,,,,,,,,,,,,,,
E06000021 : Stoke-on-Trent,40,"2,907","336,260",85,"4,869","742,946",15,957,"122,151",,,,,,,,,,,,,,,,,
E06000020 : Telford and Wrekin,30,"5,536","1,814,688",65,"7,207","2,071,520",15,"4,559","1,652,687",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000028 : Staffordshire,165,"19,839","1,837,804",305,"25,506","3,754,798",95,"14,967","1,171,620",,,,,,,,,,,,,,,,,
E07000192 : Cannock Chase,10,846,"70,650",30,"1,434","351,330",5,..C,..C,,,,,,,,,,,,,,,,,
E07000193 : East Staffordshire,25,"2,223","379,089",40,"2,934","435,107",15,"1,330","69,289",,,,,,,,,,,,,,,,,
E07000194 : Lichfield,30,"9,324","430,222",55,"10,744","916,062",25,"9,007","398,874",,,,,,,,,,,,,,,,,
E07000195 : Newcastle-under-Lyme,15,"2,185","210,168",35,"2,461","1,014,475",10,986,"166,241",,,,,,,,,,,,,,,,,
E07000196 : South Staffordshire,20,"1,614","166,914",35,"2,171","240,274",10,"1,318","145,769",,,,,,,,,,,,,,,,,
E07000197 : Stafford,30,"1,918","320,077",50,"3,332","383,308",15,"1,194","237,961",,,,,,,,,,,,,,,,,
E07000198 : Staffordshire Moorlands,15,584,"52,248",25,"1,085","89,698",5,..C,..C,,,,,,,,,,,,,,,,,
E07000199 : Tamworth,20,"1,145","208,436",35,"1,345","324,544",10,549,"61,938",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000031 : Warwickshire,130,"16,200","1,470,228",255,"37,379","6,138,254",60,"9,935","640,545",,,,,,,,,,,,,,,,,
E07000218 : North Warwickshire,20,"2,276","166,356",40,"5,045","1,367,131",10,470,"38,034",,,,,,,,,,,,,,,,,
E07000219 : Nuneaton and Bedworth,25,"3,564","253,461",45,"7,576","904,996",5,"2,439","134,869",,,,,,,,,,,,,,,,,
E07000220 : Rugby,15,"1,673","307,416",25,"4,765","1,010,746",5,493,"36,674",,,,,,,,,,,,,,,,,
E07000221 : Stratford-on-Avon,45,"5,693","329,199",70,"7,141","645,055",25,"5,031","255,226",,,,,,,,,,,,,,,,,
E07000222 : Warwick,25,"2,994","413,796",75,"12,852","2,210,326",15,"1,502","175,742",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E11000005 : West Midlands (Met County),455,"126,879","7,693,844",870,"95,528","15,523,404",235,"52,437","3,757,922",,,,,,,,,,,,,,,,,
E08000025 : Birmingham,175,"28,506","2,836,486",380,"35,274","3,946,829",100,"17,704","1,750,264",,,,,,,,,,,,,,,,,
E08000026 : Coventry,50,"5,934","1,196,978",85,"5,144",..C,30,"2,346","138,244",,,,,,,,,,,,,,,,,
E08000027 : Dudley,55,"7,166","931,921",80,"7,436","1,000,329",25,"1,900","256,386",,,,,,,,,,,,,,,,,
E08000028 : Sandwell,35,"2,973","246,866",90,"10,500","1,908,663",15,"1,063","120,917",,,,,,,,,,,,,,,,,
E08000029 : Solihull,55,"39,002","1,275,338",80,"5,098","1,606,311",25,"3,095","853,202",,,,,,,,,,,,,,,,,
E08000030 : Walsall,40,"39,475","825,815",75,"27,799","1,505,241",20,"25,039","464,801",,,,,,,,,,,,,,,,,
E08000031 : Wolverhampton,45,"3,823","380,440",80,"4,277",..C,20,"1,290","174,108",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000034 : Worcestershire,120,"15,817","1,575,789",265,"20,444","2,564,351",60,"11,331","1,114,954",,,,,,,,,,,,,,,,,
E07000234 : Bromsgrove,25,"2,986","303,964",50,"3,355","523,110",10,"1,535","93,778",,,,,,,,,,,,,,,,,
E07000235 : Malvern Hills,15,"1,344","66,823",40,"2,121","174,988",10,943,"41,026",,,,,,,,,,,,,,,,,
E07000236 : Redditch,20,"1,245","230,590",30,"2,396","471,661",5,344,"164,317",,,,,,,,,,,,,,,,,
E07000237 : Worcester,25,"3,670","397,711",50,"4,293","460,056",15,"3,290","355,719",,,,,,,,,,,,,,,,,
E07000238 : Wychavon,25,"5,934","521,304",65,"7,012","796,848",15,"4,763","425,916",,,,,,,,,,,,,,,,,
E07000239 : Wyre Forest,10,638,"55,397",30,"1,267","137,688",5,456,"34,198",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000006 : East,"1,320","164,208","22,561,778","2,460","234,260","41,781,874",695,"87,227","15,359,218",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000055 : Bedford,40,"2,882",..C,60,"3,247","457,622",25,"1,878",..C,,,,,,,,,,,,,,,,,
E06000056 : Central Bedfordshire,45,"19,973",..C,80,"21,540","7,360,991",15,..C,..C,,,,,,,,,,,,,,,,,
E06000032 : Luton,25,"10,120","681,408",50,"2,846","329,611",10,768,..C,,,,,,,,,,,,,,,,,
E06000031 : Peterborough,55,"5,168","411,015",75,"4,717","398,902",30,"1,795","124,666",,,,,,,,,,,,,,,,,
E06000033 : Southend-on-Sea,20,"1,516","108,917",65,"3,284","326,148",15,..C,..C,,,,,,,,,,,,,,,,,
E06000034 : Thurrock,30,"3,090","402,960",45,"3,193","571,441",15,845,..C,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000003 : Cambridgeshire,185,"17,174","1,788,576",340,"23,243","3,785,008",100,"8,600","1,081,176",,,,,,,,,,,,,,,,,
E07000008 : Cambridge,45,"6,964","380,581",75,"5,556","675,589",20,"2,470","108,070",,,,,,,,,,,,,,,,,
E07000009 : East Cambridgeshire,20,"1,075","259,615",40,"1,325","186,991",10,529,"49,155",,,,,,,,,,,,,,,,,
E07000010 : Fenland,15,"1,121","117,317",30,"1,623","180,224",10,565,"65,066",,,,,,,,,,,,,,,,,
E07000011 : Huntingdonshire,45,"3,939","521,043",80,"5,663","1,006,326",30,"2,530","466,721",,,,,,,,,,,,,,,,,
E07000012 : South Cambridgeshire,60,"4,075","510,020",115,"9,076","1,735,878",30,"2,506","392,164",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000012 : Essex,310,"24,901","3,109,088",605,"48,671","7,924,642",160,"14,445","1,760,540",,,,,,,,,,,,,,,,,
E07000066 : Basildon,25,"1,621","242,335",85,"6,400","1,284,542",15,952,"124,683",,,,,,,,,,,,,,,,,
E07000067 : Braintree,30,"1,966","318,801",65,"4,656","578,382",15,961,"118,727",,,,,,,,,,,,,,,,,
E07000068 : Brentwood,10,"1,009","71,933",40,"7,376","707,722",10,787,..C,,,,,,,,,,,,,,,,,
E07000069 : Castle Point,10,585,"83,735",20,"5,696","320,925",0,..C,..C,,,,,,,,,,,,,,,,,
E07000070 : Chelmsford,35,"3,737","280,048",60,"3,909","468,401",15,"1,667","85,317",,,,,,,,,,,,,,,,,
E07000071 : Colchester,45,"4,136","487,079",75,"3,716","569,860",25,"2,252","367,391",,,,,,,,,,,,,,,,,
E07000072 : Epping Forest,40,"3,462","494,227",60,"4,524","684,783",20,"2,251","325,894",,,,,,,,,,,,,,,,,
E07000073 : Harlow,20,"1,405","186,958",30,"1,432","292,449",10,919,"105,655",,,,,,,,,,,,,,,,,
E07000074 : Maldon,15,998,"274,616",30,"1,574","243,921",10,517,"76,373",,,,,,,,,,,,,,,,,
E07000075 : Rochford,20,954,"96,137",30,951,"155,927",10,..C,"55,336",,,,,,,,,,,,,,,,,
E07000076 : Tendring,25,"2,623","268,119",45,"3,678","447,788",15,"2,225","240,621",,,,,,,,,,,,,,,,,
